variable,gl,H,p,epsilon2,significativo
danceability,5,5215.848675938038,0.0,0.18399239701769138,True
energy,5,4255.144493470205,0.0,0.15007042454257283,True
acousticness,5,3343.853587607179,0.0,0.11789320954793896,True
loudness,5,2533.627912795063,0.0,0.08928455608188492,True
valence,5,1948.0501348305236,0.0,0.06860810475726575,True
duracion_min,5,1423.249823727558,1.2614882623374226e-305,0.050077674648760916,True
tempo,5,1160.4791586309357,1.0667178762442265e-248,0.04079937709229673,True
track_popularity,5,901.4953670098681,1.263213685759601e-192,0.0316547920980851,True
