variable,grupo_a,grupo_b,media_a,media_b,mediana_a,mediana_b,t,p_t,U,p_u,cohen_d,p_t_bonf,p_u_bonf,significativo
track_popularity,edm,latin,32.05491946438968,42.49076023391813,34.0,47.0,-22.20555387829932,2.6976636897237617e-106,7939987.5,6.104460976466829e-121,-0.46418214191775486,4.046495534585643e-105,9.156691464700245e-120,True
track_popularity,edm,pop,32.05491946438968,43.72495644599303,34.0,47.0,-25.230789532928284,6.856567059145684e-136,8302079.0,4.012372329840924e-143,-0.5155881318948774,1.0284850588718526e-134,6.018558494761386e-142,True
track_popularity,edm,r&b,32.05491946438968,37.60969441517387,34.0,39.0,-12.000383489970456,6.1369172456117845e-33,10484637.5,1.3460214539599264e-34,-0.24282236064470056,9.205375868417677e-32,2.0190321809398896e-33,True
track_popularity,edm,rap,32.05491946438968,41.12552864282968,34.0,45.0,-21.077391217792158,1.3598520013357448e-96,9972542.5,8.741327959364544e-113,-0.4141580390655709,2.039778002003617e-95,1.3111991939046816e-111,True
track_popularity,edm,rock,32.05491946438968,40.07775229357798,34.0,45.0,-16.954348722140637,1.8373624762643543e-63,8766156.5,2.0480095875637658e-76,-0.3527479880352874,2.7560437143965314e-62,3.072014381345649e-75,True
track_popularity,latin,pop,42.49076023391813,43.72495644599303,47.0,47.0,-2.4265661763922726,0.01526235345492373,9507136.0,0.010464109251427036,-0.051555181150070316,0.22893530182385596,0.15696163877140554,False
track_popularity,latin,r&b,42.49076023391813,37.60969441517387,47.0,39.0,9.590686444782468,1.1117321328156646e-21,11337905.0,3.4761413505389986e-22,0.20195935780891003,1.667598199223497e-20,5.214212025808498e-21,True
track_popularity,latin,rap,42.49076023391813,41.12552864282968,47.0,45.0,2.846974173353633,0.0044237954756943,11566128.5,0.0007437047862836163,0.05910678803817053,0.0663569321354145,0.011155571794254245,True
track_popularity,latin,rock,42.49076023391813,40.07775229357798,47.0,45.0,4.655251775455325,3.284130755027672e-06,9744476.0,0.00024183724701177964,0.10017800640163123,4.926196132541508e-05,0.0036275587051766947,True
track_popularity,pop,r&b,43.72495644599303,37.60969441517387,47.0,39.0,12.179814526395642,7.191797624587482e-34,12486627.0,2.1058955016282757e-34,0.25205742604880715,1.0787696436881224e-32,3.1588432524424135e-33,True
track_popularity,pop,rap,43.72495644599303,41.12552864282968,47.0,45.0,5.504292179075778,3.80350686000165e-08,12807644.5,6.078178708278352e-10,0.11192077313305998,5.705260290002475e-07,9.117268062417528e-09,True
track_popularity,pop,rock,43.72495644599303,40.07775229357798,47.0,45.0,7.128866860963996,1.0907862793180008e-12,10801917.5,9.358153810362805e-11,0.15079056444791647,1.6361794189770013e-11,1.4037230715544207e-09,True
track_popularity,r&b,rap,37.60969441517387,41.12552864282968,39.0,45.0,-7.439360318152962,1.0981173298687352e-13,11295627.5,2.543421047251014e-13,-0.1499229637620293,1.6471759948031027e-12,3.815131570876521e-12,True
track_popularity,r&b,rock,37.60969441517387,40.07775229357798,39.0,45.0,-4.821098995481872,1.4509638548778255e-06,9642346.5,2.0987371123551535e-08,-0.10111715788990315,2.176445782316738e-05,3.14810566853273e-07,True
track_popularity,rap,rock,41.12552864282968,40.07775229357798,45.0,45.0,2.170611173918417,0.029986705251961062,11395710.5,0.6804360388173987,0.044880766768690704,0.4498005787794159,1.0,False
danceability,edm,latin,0.6572383077818746,0.7120254502923977,0.66,0.727,-22.110969110744755,1.2963092595252366e-105,7867868.0,2.0233118986567636e-126,-0.4551462462863835,1.9444638892878548e-104,3.0349678479851454e-125,True
danceability,edm,pop,0.6572383077818746,0.6370009799651568,0.66,0.649,7.918928224999825,2.6639309404578715e-15,12743579.0,4.678107981904635e-11,0.16107349314252734,3.995896410686807e-14,7.017161972856953e-10,True
danceability,edm,r&b,0.6572383077818746,0.669209272918862,0.66,0.688,-4.538346158461717,5.739102591321693e-06,11231840.5,2.623943196888286e-12,-0.09173398182427735,8.60865388698254e-05,3.935914795332429e-11,True
danceability,edm,rap,0.6572383077818746,0.7147672049211842,0.66,0.733,-22.501495717642673,1.7368595839619465e-109,9750310.5,1.925556281175633e-127,-0.44203849128790207,2.6052893759429197e-108,2.888334421763449e-126,True
danceability,edm,rock,0.6572383077818746,0.5186965596330276,0.66,0.521,50.72981234214861,0.0,17361976.5,0.0,1.055107711132694,0.0,0.0,True
danceability,latin,pop,0.7120254502923977,0.6370009799651568,0.727,0.649,28.824148281123716,1.0291523474115039e-174,13362242.0,1.345179174260054e-190,0.6105578945094979,1.5437285211172557e-173,2.017768761390081e-189,True
danceability,latin,r&b,0.7120254502923977,0.669209272918862,0.727,0.688,15.954990508203714,1.5656472215964437e-56,12011812.0,9.062825669642584e-52,0.3335688800501609,2.3484708323946656e-55,1.3594238504463875e-50,True
danceability,latin,rap,0.7120254502923977,0.7147672049211842,0.727,0.733,-1.052933612645896,0.2923983120041218,10754818.0,0.005960257870782424,-0.021408074779642718,1.0,0.08940386806173635,False
danceability,latin,rock,0.7120254502923977,0.5186965596330276,0.727,0.521,69.66162097759914,0.0,16018969.5,0.0,1.4967204244912993,0.0,0.0,True
danceability,pop,r&b,0.6370009799651568,0.669209272918862,0.649,0.688,-11.688729995701024,2.407151990952691e-31,9194523.5,5.911235909722352e-39,-0.2416772552176893,3.610727986429036e-30,8.866853864583527e-38,True
danceability,pop,rap,0.6370009799651568,0.7147672049211842,0.649,0.733,-29.03892338404396,6.777570194206514e-178,7856896.0,2.6294937379981274e-188,-0.5856906889470036,1.0166355291309771e-176,3.944240606997191e-187,True
danceability,pop,rock,0.6370009799651568,0.5186965596330276,0.649,0.521,41.58505034103159,0.0,14794332.5,0.0,0.8813614677224021,0.0,0.0,True
danceability,r&b,rap,0.669209272918862,0.7147672049211842,0.688,0.733,-16.52730298581195,1.5205129838725795e-60,9952286.0,1.2258869680402592e-62,-0.3319206949425103,2.2807694758088694e-59,1.8388304520603886e-61,True
danceability,r&b,rock,0.669209272918862,0.5186965596330276,0.688,0.521,51.5645477850204,0.0,16169590.0,0.0,1.0825126847715916,0.0,0.0,True
danceability,rap,rock,0.7147672049211842,0.5186965596330276,0.733,0.521,68.896506142383,0.0,19060936.0,0.0,1.417874023639845,0.0,0.0,True
energy,edm,latin,0.8053995730642345,0.7100691871345028,0.833,0.731,31.317298414904275,4.6380960864434145e-204,15174174.5,2.1784278761613453e-219,0.6545555842493928,6.957144129665122e-203,3.267641814242018e-218,True
energy,edm,pop,0.8053995730642345,0.700983275261324,0.833,0.7284999999999999,32.49029654858396,1.0697551289591931e-218,16174912.0,1.6671367552362853e-215,0.6681141913058553,1.6046326934387897e-217,2.500705132854428e-214,True
energy,edm,r&b,0.8053995730642345,0.5905470600632244,0.833,0.595,65.94397383401682,0.0,20255413.5,0.0,1.3413442433058043,0.0,0.0,True
energy,edm,rap,0.8053995730642345,0.6499829873125721,0.833,0.665,50.54386808340343,0.0,20535178.0,0.0,0.9923683828999372,0.0,0.0,True
energy,edm,rock,0.8053995730642345,0.733623509174312,0.833,0.779,20.24285411654503,8.54291990743325e-89,13359650.5,3.9076525144671036e-57,0.4285005404443853,1.2814379861149876e-87,5.861478771700655e-56,True
energy,latin,pop,0.7100691871345028,0.700983275261324,0.731,0.7284999999999999,2.6021806160628658,0.009278756109688532,9931225.5,0.33623099123399003,0.0550623319195727,0.13918134164532797,1.0,False
energy,latin,r&b,0.7100691871345028,0.5905470600632244,0.731,0.595,33.83494851014177,2.5613565108763376e-236,14113213.5,7.436240654287438e-227,0.7075816150179675,3.842034766314507e-235,1.1154360981431157e-225,True
energy,latin,rap,0.7100691871345028,0.6499829873125721,0.731,0.665,17.860149744443273,3.444162223694918e-70,13444433.0,6.593390112589331e-69,0.36459465906205457,5.166243335542376e-69,9.890085168883995e-68,True
energy,latin,rock,0.7100691871345028,0.733623509174312,0.731,0.779,-6.199437028199807,5.939195064924731e-10,8048396.0,5.040230024995877e-28,-0.13312299322975515,8.908792597387096e-09,7.560345037493815e-27,True
energy,pop,r&b,0.700983275261324,0.5905470600632244,0.7284999999999999,0.595,30.011544990141534,5.379157235075462e-189,14765979.5,2.98894339272944e-194,0.6208770751390493,8.068735852613193e-188,4.48341508909416e-193,True
energy,pop,rap,0.700983275261324,0.6499829873125721,0.7284999999999999,0.665,14.494498045679194,4.1090825524061006e-47,14121949.0,7.413488559695663e-55,0.2936443308099776,6.163623828609151e-46,1.1120232839543495e-53,True
energy,pop,rock,0.700983275261324,0.733623509174312,0.7284999999999999,0.779,-8.29118070077439,1.288577035858818e-16,8607864.0,1.7225760821517453e-30,-0.17586338571703813,1.932865553788227e-15,2.583864123227618e-29,True
energy,r&b,rap,0.5905470600632244,0.6499829873125721,0.595,0.665,-16.699523415608088,9.464126795559357e-62,9893899.0,1.2050218704222427e-65,-0.33594005147492517,1.4196190193339035e-60,1.807532805633364e-64,True
energy,r&b,rock,0.5905470600632244,0.733623509174312,0.595,0.779,-36.012018320523694,3.675043600649889e-265,5883751.0,1.4645073501688982e-277,-0.7581139415367991,5.512565400974833e-264,2.196761025253347e-276,True
energy,rap,rock,0.6499829873125721,0.733623509174312,0.665,0.779,-21.871350685395747,2.730487174659666e-103,8035129.5,1.8347821499751952e-133,-0.45414881723581624,4.095730761989499e-102,2.752173224962793e-132,True
valence,edm,latin,0.4002320007762469,0.607239754385965,0.369,0.63,-44.2956925308025,0.0,5705779.5,0.0,-0.9154602915756017,0.0,0.0,True
valence,edm,pop,0.4002320007762469,0.5024203832752612,0.369,0.498,-22.368042627743748,4.3630350427629286e-108,8762744.5,1.4559471792629692e-108,-0.45346649484036006,6.544552564144393e-107,2.1839207688944538e-107,True
