variable,gl_entre,gl_dentro,F,p,eta2,significativo
danceability,5,28321,1352.9490365804077,0.0,0.19280608542407765,True
energy,5,28321,915.124866867281,0.0,0.13909099875516776,True
loudness,5,28321,456.67821270099836,0.0,0.07460991655631674,True
valence,5,28321,426.6134800973938,0.0,0.0700421185924367,True
acousticness,5,28321,409.46180532908664,0.0,0.06741597053853422,True
duracion_min,5,28321,247.57410993879927,8.822275566903622e-260,0.04187814103427611,True
track_popularity,5,28321,160.14569589983594,1.9963743073400575e-168,0.02749591186055004,True
tempo,5,28321,128.5765628413226,3.8470102238524237e-135,0.022196016270694275,True
