variable,shapiro_W,shapiro_p,normal,levene_F,levene_p,varianzas_iguales
track_popularity,0.9547476888139116,2.972313499462463e-11,False,47.65546498469226,2.9220173934314147e-49,False
danceability,0.9819037091045881,7.063133430590851e-06,False,57.58082141127465,8.12316874777906e-60,False
energy,0.972859633904822,5.297742456712135e-08,False,140.96795622063337,3.1796366080079324e-148,False
valence,0.9838644852422236,2.3892304954426607e-05,False,1.6051741030678877,0.15485453228781482,True
loudness,0.9547494076606095,2.974130093433517e-11,False,106.32721795472885,1.3504798244517428e-111,False
tempo,0.9658069923628885,2.159498631101018e-09,False,782.8265141722383,0.0,False
acousticness,0.8507355364100517,2.387408573610872e-21,False,275.3425003445767,1.558646293518699e-288,False
duracion_min,0.8956280034277431,5.943042664628213e-18,False,132.18043527897365,5.995918464071739e-139,False
